task_success,mean_time,rejection_rate,corrective_per_mission,false_activation_rate,method,k,tau
0.9996666666666667,15.080360120040014,0.18644604186446043,0.11066666666666666,0.004407051282051282,supMAE,3,0.93
0.9926666666666667,15.99160510409671,0.23935492095869454,0.08566666666666667,0.004006410256410256,supMAE,3,0.95
0.967,17.714581178903828,0.3184383545703148,0.101,0.0028044871794871795,supMAE,3,0.97
0.7456666666666667,22.30308448815378,0.49920796170667037,0.107,0.0016025641025641025,supMAE,3,0.99
0.7903333333333333,14.568536482496837,0.0,0.8093333333333333,0.046857772877618525,supLP120,1,0.0
0.7903333333333333,14.568536482496837,0.0,0.8093333333333333,0.046857772877618525,supLP120,1,0.3
0.783,14.476798637718177,0.02707968599988705,0.6663333333333333,0.040793825799338476,supLP120,1,0.5
0.811,14.342786683107274,0.0517679180887372,0.539,0.03491363469312753,supLP120,1,0.6
0.8503333333333334,14.62093296746374,0.0772367348012522,0.517,0.0284821756707093,supLP120,1,0.7
0.8763333333333333,14.886648915937618,0.11049194382107466,0.44766666666666666,0.024990812201396546,supLP120,1,0.8
0.9,15.151111111111112,0.13329928498467825,0.42933333333333334,0.02113193678794561,supLP120,1,0.85
0.9213333333333333,15.81150506512301,0.16733597945365397,0.458,0.016905549430356485,supLP120,1,0.9
0.9393333333333334,16.203690560681334,0.19810707156794582,0.41633333333333333,0.014884233737596472,supLP120,1,0.93
0.944,16.66843220338983,0.22234084273824567,0.42,0.012495406100698273,supLP120,1,0.95
0.943,17.55461293743372,0.27191038897095027,0.38766666666666666,0.009187798603454611,supLP120,1,0.97
0.8763333333333333,20.519208824648157,0.3999643684304294,0.36333333333333334,0.004410143329658214,supLP120,1,0.99
0.957,12.688610240334379,0.0,0.22566666666666665,0.017427884615384616,supLP120,3,0.0
0.957,12.688610240334379,0.0,0.22566666666666665,0.017427884615384616,supLP120,3,0.3
0.9546666666666667,12.744762569832401,0.006531064065310641,0.22,0.013822115384615384,supLP120,3,0.5
0.9663333333333334,12.655743359779235,0.01832532226349137,0.14366666666666666,0.010416666666666666,supLP120,3,0.6
0.9666666666666667,12.821724137931035,0.036015983265842474,0.126,0.00641025641025641,supLP120,3,0.7
