test_subject,oov_label,method,num_known_classes,base_train_samples,base_val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt
sub8,throw,supMAE,21,1624,406,12,99.014778,98.522167,0.985465,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-throw_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,throw,mae,21,1624,406,25,99.753695,99.753695,0.997021,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-throw_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,throw,supcon,21,1624,406,11,99.261084,98.768473,0.985869,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-throw_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,turnaround,scratch,21,1515,379,46,99.736148,99.472296,0.994529,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-turnaround_scratch_base21_bestVal.pth,
sub8,turnaround,supLP120,21,1515,379,8,98.416887,97.889182,0.980532,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-turnaround_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,turnaround,supMAE,21,1515,379,27,99.736148,99.208443,0.992217,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-turnaround_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,turnaround,mae,21,1515,379,18,99.208443,98.680739,0.987323,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-turnaround_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,turnaround,supcon,21,1515,379,25,99.736148,99.472296,0.995094,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-turnaround_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,walk,scratch,21,1564,391,19,99.232737,99.232737,0.992024,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-walk_scratch_base21_bestVal.pth,
sub8,walk,supLP120,21,1564,391,21,99.744246,99.488491,0.994532,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-walk_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,walk,supMAE,21,1564,391,23,99.744246,99.488491,0.994291,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-walk_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,walk,mae,21,1564,391,30,99.488491,98.721228,0.986185,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-walk_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,walk,supcon,21,1564,391,19,99.744246,99.232737,0.991324,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-walk_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,wave,scratch,21,1626,406,36,98.768473,98.522167,0.984564,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_scratch_base21_bestVal.pth,
sub8,wave,supLP120,21,1626,406,12,99.014778,98.768473,0.988657,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,wave,supMAE,21,1626,406,48,99.753695,99.753695,0.997114,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,wave,mae,21,1626,406,26,99.753695,96.551724,0.964036,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
