vocab,method,k,tau,hard_success,mean_cost,rejection_rate,corrective_per_mission
17,supcon,3,0.0,0.489,26.94,0.0,0.62
17,scratch,3,0.9,0.643,25.826,0.40470277410832234,0.307
17,mae,3,0.9,0.6,26.887,0.46215372610222394,0.161
17,supMAE,3,0.9,0.697,24.529,0.31059774761767256,0.178
17,supLP120,3,0.9,0.822,19.932,0.2620049504950495,0.104
17,supcon,3,0.9,0.82,20.757,0.2735156771180787,0.176
18,scratch,1,0.0,0.929,17.247,0.0,1.269
18,mae,1,0.0,0.875,18.277,0.0,1.239
18,supMAE,1,0.0,0.917,16.42,0.0,0.92
18,supLP120,1,0.0,0.769,20.27,0.0,1.15
18,supcon,1,0.0,0.901,17.196,0.0,1.032
18,scratch,1,0.9,0.949,18.02,0.28696854892056045,0.257
18,mae,1,0.9,0.946,19.034,0.28637510513036163,0.596
18,supMAE,1,0.9,0.965,17.087,0.22029268292682927,0.404
18,supLP120,1,0.9,0.932,18.198,0.2101128787378705,0.583
18,supcon,1,0.9,0.991,15.584,0.18147693147693147,0.264
18,scratch,3,0.0,0.917,15.532,0.0,0.624
18,mae,3,0.0,0.909,14.894,0.0,0.358
18,supMAE,3,0.0,0.915,14.489,0.0,0.243
18,supLP120,3,0.0,0.872,15.486,0.0,0.302
18,supcon,3,0.0,0.898,15.045,0.0,0.335
18,scratch,3,0.9,0.949,17.196,0.23526026346080062,0.226
18,mae,3,0.9,0.96,17.89,0.29660417403608064,0.216
18,supMAE,3,0.9,0.959,15.696,0.1848070247090055,0.115
18,supLP120,3,0.9,1.0,14.136,0.13119026933101652,0.108
18,supcon,3,0.9,1.0,13.904,0.12197263481378504,0.079
19,scratch,1,0.0,0.38,34.757,0.0,1.459
19,mae,1,0.0,0.33,37.467,0.0,1.909
19,supMAE,1,0.0,0.349,35.987,0.0,1.689
19,supLP120,1,0.0,0.4,33.722,0.0,1.474
19,supcon,1,0.0,0.4,33.777,0.0,1.579
19,scratch,1,0.9,0.606,28.003,0.3231148292459317,0.757
19,mae,1,0.9,0.684,27.456,0.380698607007176,0.748
19,supMAE,1,0.9,0.628,27.682,0.2971040189125296,0.634
19,supLP120,1,0.9,0.616,27.467,0.2845240949412611,0.481
19,supcon,1,0.9,0.636,26.531,0.26304737199678835,0.72
19,scratch,3,0.0,0.54,26.516,0.0,1.052
19,mae,3,0.0,0.548,26.901,0.0,1.127
19,supMAE,3,0.0,0.664,22.781,0.0,0.907
19,supLP120,3,0.0,0.719,21.127,0.0,0.889
19,supcon,3,0.0,0.664,22.948,0.0,0.976
19,scratch,3,0.9,0.754,22.736,0.2882363538101243,0.421
19,mae,3,0.9,0.734,24.036,0.34229420604441474,0.283
19,supMAE,3,0.9,0.818,21.027,0.23683203673000894,0.475
